MovieID;Title;KoreanTitle;Plot;ReleaseYear;RunningTime;GradeID;GradeInKoreaID;Poster;ReleaseDateInKorea;BoxOfficeWWGross;BoxOfficeUSGross;Budget
1;Whiplash;위플래쉬;"A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.";2014;107;1;NULL;Whiplash.jpg;2015-03-12;33020729;13092000;3300000
2;"Birdman: Or (The Unexpected Virtue of Ignorance)";버드맨;"A washed-up actor, who once played an iconic superhero, battles his ego and attempts to recover his family, his career and himself in the days leading up to the opening of his Broadway play.";2014;119;1;NULL;Birdman.jpg;2015-03-05;103215094;42335698;22000000
3;"American Sniper";"아메리칸 스나이퍼";"Navy SEAL sniper Chris Kyle‘s pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can‘t leave behind.";2014;132;1;NULL;AmericanSniper.jpg;2015-01-14;33020729;547126372;58800000
4;Boyhood;보이후드;"메이슨의 삶, 어린 시절에서 대학에 입학할 때 까지의 이야기. 여섯살의 메이슨은 누나 사만다와 어머니 올리비아와 함께 살고 있다. 아빠는 일주일에 한번씩 들러 아이들과 친구처럼 놀아주지만 함께 살 수는 없다. 엄마의 이혼과 재혼, 직장 문제 등으로 계속 낮선 도시로 이사를 다녀야 하는 메이슨은 외로운 나날을 보내며 성장한다.";2014;165;1;NULL;Boyhood.jpg;2014-10-23;43237465;25359200;4000000
5;"The Imitation Game";"이미테이션 게임";"During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians.";2014;114;2;NULL;TheImitationGame.jpg;2015-02-17;219979959;91121452;14000000
6;"The Grand Budapest Hotel";"그랜드 부다페스트 호텔";"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.";2014;99;1;NULL;TheGrandBudapestHotel.jpg;NULL;174600318;59100318;31000000
7;Selma;셀마;"A chronicle of Martin Luther King's campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama in 1965.";2014;128;2;NULL;Selma.jpg;NULL;66787908;52076908;20000000
8;"The Theory of Everything";"사랑에 대한 모든 것";"A look at the relationship between the famous physicist Stephen Hawking and his wife.";2014;123;2;NULL;TheTheoryofEverything.jpg;2014-12-10;121201940;35893537;15000000
9;Foxcatcher;폭스캐처;"The greatest Olympic Wrestling Champion brother team joins Team Foxcatcher led by multimillionaire sponsor John E. du Pont as they train for the 1988 games in Seoul - a union that leads to unlikely circumstances.";2014;134;2;NULL;Foxcatcher.jpg;2015-02-05;15920642;12096300;24000000
10;"Still Alice";"스틸 앨리스";"언어학 교수로서 존경받는 삶을 살던 앨리스는 어느날 자신이 희귀한 알츠하이머에 걸렸다는 것을 알게된다. 자신의 모든 기억, 심지어 사랑하는 사람들까지도 모두 잊어버릴 수 있다는 두려움에 떨게되고 이는 가족 모두에게도 두려움으로 다가온다.";2014;101;2;NULL;StillAlice.jpg;2015-04-29;41797583;18754371;4100000
11;"Two Days, One Night";"내일을 위한 시간";"Sandra, a young Belgian mother, discovers that her workmates have opted for a significant pay bonus, in exchange for her dismissal. She has only one weekend to convince her colleagues to give up their bonuses so that she can keep her job.";2014;95;2;NULL;TwoDaysOneNight.jpg;2015-01-01;6860853;1433853;7000000
12;"Gone Girl";"나를 찾아줘";"With his wife‘s disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it‘s suspected that he may not be innocent.";2014;149;1;NULL;GoneGirl.jpg;2014-10-23;368061911;167767189;61000000
13;Wild;와일드;"A chronicle of one woman's 1,100-mile solo hike undertaken as a way to recover from a recent catastrophe.";2014;115;1;NULL;Wild.jpg;2015-01-22;52501541;37880356;NULL
14;"The Judge";"더 저지";"Big city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth and, along the way, reconnects with his estranged family.";2014;141;1;NULL;TheJudge.jpg;2015-02-22;212902372;128002372;50000000
15;"Into the Woods";숲속으로;"A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.";2014;125;3;NULL;IntotheWoods.jpg;2014-12-24;38697217;32381217;8500000
